username,total_score,categ1,categ2,categ3,categ4,articles1,articles2,articles3,articles4,articles5,articles6,articles7,articles8,articles9,articles10
Sjc,608.0,Humanities,History,Culture,Language,"['Old English', 74]","['List of kennings', 67]","['List of generic forms in place names in the British Isles', 58]","['Plymouth', 49]","['Norse mythology', 49]","['Plymouth Argyle F.C.', 47]","['Asger Jorn', 40]","['Timeline of British history (1930–1949)', 38]","['A Tale of Two Cities', 38]","['Timeline of British history (1000–1499)', 36]"
Sjones23,1106.0,Entertainment,Concepts,Other,Lists,"['List of Fairy Tail characters', 1632]","['List of One Piece characters', 755]","['Darth Vader', 656]","['Jumanji', 514]","['Star Wars: Episode III – Revenge of the Sith', 506]","['Rio (2011 film)', 474]","['Home Alone 2: Lost in New York', 401]","['List of Death Note characters', 374]","['Sailor Moon', 371]","['Les Misérables (2012 film)', 345]"
Sjsharksrs,495.0,Education,Entities,Geography,Business,"['Reebok', 24]","['Nan Hua High School', 18]","['Dunman High School', 18]","['Adidas', 17]","['Detroit', 14]","['Indian Village, Detroit', 12]","['Catholic High School, Singapore', 10]","['Clementi New Town', 9]","['Clementi, Singapore', 8]","['Nickerson Gardens', 8]"
Sk8er5000,117.0,Business,,,,"['Grace Bros', 1]",,,,,,,,,
SkArcher,368.0,Mass media,Language,Military,Health,"['The Disposable Heroes of Hiphoprisy', 8]","['List of words having different meanings in American and British English (A–L)', 2]","['Iraq', 2]","['BAX', 1]","['Will Smith', 1]","['God', 1]","['Bombing of Dresden', 1]","['Lists of programming languages', 1]","['Nick Ut', 1]","['In vitro toxicology', 1]"
Skapur,665.0,Government,Economy,Nature,Engineering,"['List of lighthouses in the United States', 87]","['United States Coast Guard Auxiliary', 82]","['United States Coast Guard', 70]","['Boat', 62]","['Setauket, New York', 47]","['Glossary of nautical terms (A–L)', 42]","['Incident Command System', 27]","['Coast Guard Station Eatons Neck', 25]","['Stony Brook University', 24]","['Officer in Charge Marine Inspections', 22]"
Skaz,156.0,History,Military,People,Geography,"['Laki', 2]","['Defence of Iceland', 2]","['Akureyri', 1]","['Kristján Þór Júlíusson', 1]","['Vladimir Romanov', 1]","['List of sovereign states without armed forces', 1]","['Cabinet of Iceland', 1]","['Swiftsure-class submarine', 1]",,
Skeezix1000,787.0,Geography,Entertainment,Culture,History,"['List of National Historic Sites of Canada in Ontario', 313]","['Tim Hortons', 154]","['Newspaper of record', 130]","['List of National Historic Sites of Canada in British Columbia', 110]","['Toronto Eaton Centre', 105]","['List of National Historic Sites of Canada in Quebec', 102]","['National Historic Sites of Canada', 102]","[""Eaton's"", 99]","['Lakhva', 97]","['The Beaches, Toronto', 97]"
Skenmy,564.0,Education,Law,Religion,Mass media,"['Shenfield High School', 10]","['Stage box', 6]","['Perplex City', 4]","['Barry Trotter', 4]","['The Thirteenth Labour', 3]","['Church of Satan', 2]","['Guardia di Finanza', 2]","['The Holocaust', 2]","['Forward (association football)', 2]","['Tax', 2]"
SkepticalRaptor,638.0,Science,Nature,History,Life,"['Younger Dryas impact hypothesis', 145]","['Homeopathy', 57]","['Mount Tambora', 52]","['Cretaceous–Paleogene extinction event', 51]","['Younger Dryas', 47]","['Mammoth', 39]","['Popocatépetl', 39]","['Mount Shasta', 37]","['Lake Agassiz', 37]","['Impact event', 35]"
SkerHawx,803.0,People,Education,Literature,Technology,"['Norfolk, Nebraska', 26]","['Norfolk Catholic High School', 14]","['Kennesaw State University', 11]","['Telemarketing', 7]","['Lord of the Flies', 7]","['Frankenstein', 6]","['Stephen Hawking', 5]","['Ryland Homes', 5]","['Mount Rushmore', 5]","['Lincoln East High School', 4]"
Skier Dude,,Geography,Culture,Society,Lists,"['List of recurring Arrested Development characters', 45]","['Svishtov', 20]","['Valenzuela, Metro Manila', 19]","['List of saints', 19]","['Riders in the Sky (band)', 18]","['Motown discography', 17]","['Emblems of Indian states', 17]","['Cagayan de Oro', 16]","['Flamingo International Airport', 15]","['North Devon Coast', 15]"
SkierRMH,102.0,,,,,,,,,,,,,,
Skinny87,734.0,Military,War,History,Other,"['Mk VII Tetrarch light tank', 429]","['11th Airborne Division', 330]","['Operation Varsity', 311]","['General Aircraft Hamilcar', 268]","['M22 Locust', 235]","['Operation Tonga', 181]","['17th Airborne Division (United States)', 181]","['Operation Doomsday', 157]","['Battle of Fort Ében-Émael', 150]","['13th Airborne Division (United States)', 145]"
Skinnyweed,568.0,Politics,Society,Culture,Geography,"['United Kingdom', 88]","['Censorship in the United Kingdom', 75]","['European Union', 66]","['GCE Advanced Level in the United Kingdom', 61]","['Manchester', 49]","['Suicide', 45]","['Censorship in India', 41]","['Hong Kong', 32]","['Teenage suicide in the United States', 31]","['Quinten Hann', 29]"
Skittle,624.0,Food and drink,Entertainment,Culture,Health,"['Cake', 33]","['Smarties', 33]","['Harry Potter', 25]","['Chocolate', 22]","['Sponge cake', 22]","['Vestigiality', 21]","['Remembrance Day', 20]","['Cupcake', 19]","['Cookie', 14]","['Buttercream', 14]"
Skizzik,689.0,Nature,History,Government,Mass media,"['Rainforest', 175]","['Machu Picchu', 110]","['Amazon rainforest', 106]","['Klondike Gold Rush', 77]","['Gold rush', 61]","['United States documents leak of the War in Afghanistan', 45]","['Julian Assange', 37]","['United States diplomatic cables leak', 36]","['List of urban areas in Sweden', 34]","['Spice Girls', 31]"
Sko1221,408.0,Religion,Healthcare,Culture,Internet,"['Foie gras', 25]","['Foie gras controversy', 11]","['Buddhism in the United States', 7]","['Healthcare in the United States', 7]","['Champs-Élysées', 6]","['Naturopathy', 6]","['Facebook', 6]","['Caye Caulker', 6]","['Overlapping circles grid', 6]","['Cabinet of Barack Obama', 5]"
Skomorokh,952.0,Philosophy,Literature,People,Politics,"['William Gibson', 678]","['Anarchism', 512]","['Jimmy Wales', 433]","['Ayn Rand', 378]","['Stormfront (website)', 334]","['Jim Jarmusch', 297]","['Mystery Train (film)', 255]","['CrimethInc.', 223]","['Spook Country', 213]","['The Man from London', 205]"
Skudrafan1,842.0,Sports,History,People,Time,"['Deaths in December 2016', 504]","['2006 Stanley Cup playoffs', 442]","['Deaths in 2018', 368]","['2006–07 Buffalo Sabres season', 346]","['2007–08 Buffalo Sabres season', 321]","['Buffalo Sabres', 288]","[""2014–15 Mount St. Mary's Mountaineers men's basketball team"", 198]","['2014–15 NFL playoffs', 181]","['Deaths in 2017', 172]","['List of Buffalo Sabres players', 166]"
Sky,502.0,Education,Geography,Entities,Other,"['University of Tartu', 61]","['University of Greifswald', 59]","['Coimbra Group', 28]","['Greifswald', 27]","['Estonia', 22]","['University of Rostock', 20]","['University of Oxford', 17]","['FC Hansa Rostock', 16]","['Trinity College Dublin', 15]","['Rostock', 13]"
SkyWalker,682.0,Entertainment,Technology,Lists,Other,"['2009 in video games', 434]","['2008 in video games', 303]","['List of video games in development', 292]","['2007 in video games', 283]","['List of Games for Windows titles', 256]","['2008 in film', 238]","['Grand Theft Auto IV', 179]","['Command & Conquer: Red Alert 3', 168]","['Far Cry 2', 165]","['2009 in film', 155]"
Skybum,519.0,Engineering,Technology,Nature,Concepts,"['Personal rapid transit', 74]","['Burj Khalifa', 20]","['Arcosanti', 9]","['Atascadero, California', 8]","['Edward Gardner Lewis', 8]","['SpaceX', 8]","['Streetcar (disambiguation)', 6]","['Ultra (personal rapid transit)', 6]","['Arcology', 5]","['Masten Space Systems', 5]"
Skyemoor,533.0,Economy,Environment,Energy,Government,"['Democratic-Republican Party', 161]","['Federal Assault Weapons Ban', 106]","['Solar energy', 93]","['Climate change', 87]","['Hubbert peak theory', 81]","['Energy development', 71]","['James Madison', 69]","['John Boehner', 53]","['Renewable energy', 52]","['Wind power', 47]"
Skyezx,625.0,People,Entertainment,Culture,Education,"['Markus Näslund', 70]","['MapleStory DS', 36]","['Linda Chung', 26]","['Roberto Luongo', 25]","['Mats Sundin', 18]","['Vancouver Canucks', 14]","['University of British Columbia', 13]","['2003–04 Vancouver Canucks season', 11]","['Orlando Bloom', 9]","['Lenovo 3000', 9]"
Skyler1534,673.0,Law,Politics,Society,History,"['Lists of United States Supreme Court cases', 28]","['Job Training Partnership Act of 1982', 20]","['Australia–United States Free Trade Agreement', 19]","['Miranda v. Arizona', 11]","['Branzburg v. Hayes', 9]","['Roe v. Wade', 9]","['Dartmouth College v. Woodward', 7]","['Everson v. Board of Education', 7]","['Slaughter-House Cases', 6]","['United States case law topical index', 6]"
Skyraider,524.0,Entertainment,Culture,Concepts,Other,"['NRBQ', 51]","['Ashlee Simpson', 14]","['At Yankee Stadium', 13]","['A Nightmare on Elm Street', 12]","['Neuromancer', 9]","['Tom Ardolino', 8]","['Al Anderson (NRBQ)', 8]","['Vincent Gallo', 8]","['John Dortmunder', 7]","['Paranormal Activity', 7]"
Skywolf,466.0,Culture,Business,Society,Geography,"['Forms of address in the United Kingdom', 5]","['Hewlett-Packard', 4]","['Phoebe Philo', 4]","['Styles in the United Kingdom', 3]","['Intelligence Support Activity', 3]","['Cobb County, Georgia', 2]","['7.92x57 mm Mauser', 2]","['Huddersfield', 2]","['Planet X Television', 2]","['Monta Vista High School', 2]"
Slakr,1256.0,Humanities,History,Science,Society,"['Race (human categorization)', 46]","['Renaissance', 14]","['Star Wars', 12]","['Lil Wayne', 11]","['Uranus', 10]","['Historical race concepts', 10]","['Comparison of file archivers', 9]","['2011 Vancouver Stanley Cup riot', 9]","['Communism', 9]","['Child sexual abuse', 9]"
SlamDiego,751.0,Economy,Concepts,Entertainment,Philosophy,"['Marginal utility', 428]","['Marginalism', 196]","['Phi Kappa Psi', 120]","['Quantity theory of money', 101]","['Donald Duck filmography', 95]","['Price index', 65]","['St. Petersburg paradox', 53]","['Velocity of money', 40]","['Contour set', 38]","['Goat', 37]"
Slambo,,Transportation,Technology,Lists,History,"['List of railroad executives', 806]","['Reporting mark', 313]","['Glossary of North American railway terms', 304]","['Glossary of rail transport terms', 269]","['2005 in rail transport', 209]","['List of rail accidents (2000–2009)', 195]","['Pioneer Zephyr', 190]","['List of computer technology code names', 168]","['Rogers Locomotive and Machine Works', 154]","['Train', 146]"
Slash,536.0,Information,Technology,Business,Concepts,"['List of open-source video games', 16]","['Kevlar', 8]","['Friedrich Nietzsche', 8]","['Boxing', 6]","['The Holocaust', 6]","['Transcendental Meditation', 6]","['Fire triangle', 6]","['Unreal Tournament', 5]","['Enabling act', 5]","['Thus Spoke Zarathustra', 5]"
Slatersteven,1121.0,History,Politics,Society,War,"['Indian Rebellion of 1857', 512]","['British National Party', 331]","['Antisemitism in the British Labour Party', 282]","['English Defence League', 205]","['List of wars involving Bulgaria', 184]","['AR-15–style rifle', 176]","['List of largest roadside attractions', 150]","['List of apocalyptic and post-apocalyptic fiction', 145]","['Julian Assange', 135]","['Anti-Americanism', 129]"
Sleapaside,159.0,Sports,Entertainment,People,Geography,"['LoanDepot Park', 3]","['Johnny Peralta', 2]","['Major League Baseball', 2]","['Tampa Bay Rays', 2]","['Toronto Jays', 2]","['Miami Marlins (disambiguation)', 2]","['Jhonny Peralta', 2]","['Russell Hantz', 1]",,
Slf67,100.0,,,,,,,,,,,,,,
Slgrandson,1057.0,Entertainment,Television,Children's media,Literature,"['Care Bears Movie II: A New Generation', 190]","['Care Bears', 165]","['The Care Bears Movie', 149]","['List of The Bellflower Bunnies episodes', 138]","['The Bellflower Bunnies', 53]","['Lapitch the Little Shoemaker', 49]","['Care Bears (TV series)', 45]","['The Care Bears Adventure in Wonderland', 44]","['List of Care Bears books', 40]","['Disney Channel', 40]"
Slicky,508.0,Science,Physics,Philosophy,Technology,"['Microscope', 112]","['Theory of everything', 26]","['RESOLFT', 18]","['Neurocybernetics', 13]","['Timeline of fundamental physics discoveries', 9]","['Trigonometric functions', 9]","['Albert Einstein', 7]","['Electric motor', 7]","['Heim Quantum Theory', 6]","['Intelligent design', 5]"
Slideshow,100.0,,,,,,,,,,,,,,
SlimJim,638.0,Politics,Business,Society,History,"['James Dobson', 20]","['Joe Lieberman', 16]","['Patty Murray', 16]","['Federal Way, Washington', 12]","['Cynthia McKinney', 11]","['United States Electoral College', 11]","['Christine Gregoire', 10]","['Dave Reichert', 7]","['James Earl Jones', 5]","['Poop', 5]"
SlimVirgin,,History,Religion,Ethics,Society,"['The Holocaust', 1759]","['Female genital mutilation', 1749]","['Killing of Muhammad al-Durrah', 1546]","['Ezra Pound', 1541]","['Christian Science', 1331]","['Rudolf Vrba', 1330]","['People for the Ethical Treatment of Animals', 1274]","['Marshalsea', 1193]","['Animal rights', 1132]","['Veganism', 1063]"
Slipknot222,214.0,,,,,,,,,,,,,,
Slippered,100.0,,,,,,,,,,,,,,
Slivester,621.0,Education,Geography,Media,Politics,"['Woodlands, Singapore', 143]","['Millennia Institute', 67]","['Marsiling Secondary School', 30]","['2005 Bali bombings', 26]","['Serafim Tulikov', 24]","['Singapore', 20]","['Radio in Singapore', 17]","['Mediacorp', 12]","['Yang di-Pertuan Negara', 9]","['Mahinda Rajapaksa', 8]"
Slon02,1201.0,Environment,Government,International relations,Culture,"['Arctic policy of Russia', 64]","['Renewable energy in Russia', 56]","['List of ambassadors of Russia to France', 52]","['Death and state funeral of Fidel Castro', 47]","['List of governors of Maryland', 39]","['Vladimir Teplyakov', 31]","['Hispanism', 26]","['Gadhinglaj', 26]","['Mark Painter', 21]","['Environmental issues in Russia', 20]"
Slp1,1149.0,History,People,Science,Law,"['William Wilberforce', 1052]","[""Fathers' rights movement"", 485]","['École Polytechnique massacre', 477]","['Olivia Manning', 404]","['Stephen Hawking', 268]","['Marc Lépine', 241]","['Troy Davis', 233]","['Learned Hand', 214]","[""Men's rights movement"", 179]","['Parental alienation syndrome', 174]"
Slrubenstein,781.0,Religion,Culture,Economy,Philosophy,"['Jesus', 512]","['Race (human categorization)', 437]","['Culture', 378]","['Historical background of the New Testament', 291]","['Pharisees', 286]","['Franz Boas', 274]","['Judaism', 259]","['Karl Marx', 223]","['Capitalism', 173]","['Bible', 145]"
SluggoOne,599.0,Entertainment,Sports,People,Geography,"['Kevin Rudolf', 90]","['Panic! at the Disco', 62]","[""Lil' Flip"", 50]","['Gallows (band)', 28]","['Elyria, Ohio', 27]","['Brokencyde', 26]","['Michael Vick', 19]","['Robert Kardashian', 16]","['Zack Greinke', 16]","['Mike Arcuri', 13]"
Slumdog102,409.0,Culture,History,Food and drink,Society,"['Michael Lobo', 36]","['Mangalorean Catholics', 27]","['Mangalorean cuisine', 26]","['Pius Fidelis Pinto', 25]","['Culture of Mangalorean Catholics', 11]","['Udupi cuisine', 4]","['Captivity of Mangalorean Catholics at Seringapatam', 3]","['Captivity of Canara Christians at Seringapatam', 1]","['Mangalore', 1]",
Sluzzelin,776.0,Nature,Travel,History,Technology,"['Saxophone', 52]","['Switzerland', 51]","['Sahara', 49]","['Deaths in 2017', 48]","['Kazakhstan', 36]","['Alois Carigiet', 32]","['Godzilla', 29]","['Rwandan genocide', 29]","['Deaths in December 2016', 23]","['Duke Ellington', 22]"
Smallbones,904.0,Business,Finance,Government,Information,"['List of municipalities in Pennsylvania', 487]","['Bernie Madoff', 310]","['George Soros', 244]","['Chambersburg, Pennsylvania', 207]","['Bitcoin', 174]","['Brandywine Creek (Christina River tributary)', 156]","['Foreign exchange market', 153]","['Seth Kinman', 145]","['Media, Pennsylvania', 129]","['List of public art in Philadelphia', 123]"
Smallman12q,910.0,Conspiracy theories,Internet,Economics,Law,"['Chemtrail conspiracy theory', 146]","['Cello (web browser)', 56]","['Federal Reserve Bank of Richmond Baltimore Branch', 50]","['Absolute advantage', 41]","['Arena (web browser)', 41]","['Federal Reserve Bank of Chicago Detroit Branch', 36]","['UdiWWW', 35]","['Edmund Evans', 31]","['Peter Schiff', 30]","['Misleading graph', 29]"
Smartguy777,383.0,Fiction,Entertainment,Concepts,Nature,"['Giant Spider', 9]","['Tamagotchi', 4]","['Aqueduct (structure)', 3]","['Mirkwood', 3]","['The Hobbit', 2]","['Dalek', 2]","['Phelsuma madagascariensis', 2]","['List of Middle-earth peoples', 2]","['Shelob', 2]","['Cold (disambiguation)', 1]"
Smartse,1234.0,Drugs,Politics,Economy,Mass media,"['Mephedrone', 569]","['Boris Johnson', 123]","['Simarouba amara', 123]","['Mark Stephens (solicitor)', 120]","['WikiLeaks', 102]","['Glyphosate', 100]","['Starbucks', 87]","['Forward intelligence team', 87]","['Partygate', 85]","['Synthetic cannabinoids', 79]"
Smashville,1025.0,Geography,Sports,Entertainment,History,"['Nashville, Tennessee', 86]","['Curlin', 66]","['Big Brown (horse)', 54]","['Tennessee', 53]","['Nashville Predators', 52]","['2007–08 Nashville Predators season', 44]","['Classified advertising', 37]","['Horse racing', 35]","['Barbaro (horse)', 35]","['Montgomery Bell Academy', 31]"
Smbarnzy,548.0,Education,Society,People,History,"['Aquinas College, Perth', 1244]","['Public Schools Association', 49]","[""Christian Brothers' College, Perth"", 34]","['Aquinas College, Perth Sport', 31]","['List of alumni of Aquinas College, Perth', 29]","['Independent Primary School Heads of Australia', 29]","['Wesley College, Perth', 18]","['Scotch College, Perth', 16]","['Guildford Grammar School', 16]","['Trinity College, Perth', 14]"
Smee,738.0,Religion,Business,Philosophy,Sociology,"['Landmark Worldwide', 897]","['Voyage au pays des nouveaux gourous', 429]","['Werner Erhard', 367]","['Large-group awareness training', 351]","['Leo Ryan', 235]","['Margaret Singer', 233]","['The Hunger Project', 229]","['Erhard Seminars Training', 207]","['List of Large Group Awareness Training organizations and methodologies', 185]","['Academic study of new religious movements', 176]"
Smerk,100.0,,,,,,,,,,,,,,
SmileToday,645.0,Entertainment,Health,Culture,Lists,"['RuneScape', 25]","['Neopets', 25]","['List of Warriors characters', 17]","['Fever 1793', 16]","['Hades', 13]","['Yo (greeting)', 11]","['Comet', 11]","['Heroin', 10]","['Reggaeton', 9]","['LSD', 9]"
Smiley4541,319.0,Sports,People,Entertainment,Technology,"['2011 New York Giants season', 7]","['2011 Washington Redskins season', 6]","['2011 Philadelphia Eagles season', 5]","['Jeff Kinney', 4]","['2010 Dallas Cowboys season', 4]","['2010 Texas Rangers season', 2]","['Sam Hurd', 2]","['Dez Bryant', 2]","['Matt Moore (American football)', 2]","['2010 Philadelphia Eagles season', 2]"
Smiley77,463.0,Geography,History,People,Economy,"['List of notable Algerians', 41]","['Algeria', 8]","['List of French people', 4]","['Mouloud Feraoun', 3]","['Masinissa', 3]","['Djamila Bouhired', 3]","['Algiers', 3]","['Culture of Lebanon', 2]","['Ahmed Bey', 2]","['Algerian dinar', 2]"
Smit,100.0,,,,,,,,,,,,,,
SmithBlue,585.0,Law,Health,Society,Politics,"['David Hicks', 63]","['Pain', 45]","['Taj El-Din Hilaly', 41]","['Oral polio vaccine AIDS hypothesis', 38]","['Lakemba Mosque', 21]","['Anti-Serb sentiment', 20]","['Yunus Yosfiah', 20]","['Namus', 19]","['Recovered-memory therapy', 18]","['Sobriquet', 18]"
Smithers,662.0,Geography,,,,"['Lake Billy Chinook', 11]","['Benham Falls', 9]","['Axenstrasse', 7]","['NS Line', 7]","['Suite Vollard', 6]","['Mosby Creek Bridge', 5]","['Wickiup Reservoir', 4]","['Coolidge–Rising House', 4]","['Boxcar Rapids', 4]","['Grand Coulee Bridge', 3]"
Smithers7,104.0,,,,,,,,,,,,,,
Smitty,542.0,People,Government,Education,Crime,"['Colleen Corby', 6]","['Washington, D.C.', 6]","['Claudio Guarino', 4]","['Colin A. Ross', 4]","['Salvador A. Rodolfo Sr.', 4]","['Chaminade College Preparatory School (Missouri)', 4]","['Claudiu Mircea Ionescu', 4]","['Out-of-band management', 4]","['Cody Chesnutt', 3]","[""Saint Valentine's Day Massacre"", 3]"
Smitty494,257.0,Entertainment,,,,"['Arcana (video game)', 1]",,,,,,,,,
Smmurphy,742.0,Culture,History,Law,Sociology,"['Native American identity in the United States', 62]","['John W. Overton', 46]","['Trail of Tears', 38]","['Cy Sherman', 37]","['Cherokee', 36]","['Engagements at Pineberry, Willtown, and White Point', 34]","['Sierra Leone Civil War', 32]","['Black Panther Party', 31]","['Cherokee freedmen controversy', 30]","['Black Consciousness Movement', 30]"
Smoddy,102.0,,,,,,,,,,,,,,
Smokefoot,885.0,Science,Chemistry,Nature,Technology,"['Transition metal chloride complex', 215]","['List of colleges and universities in the United States by endowment', 200]","['Water of crystallization', 182]","['Iron(III) chloride', 122]","['Transition metal pyridine complexes', 99]","['Blue', 97]","['Metal carbonyl', 94]","['Transition metal carboxylate complex', 86]","['Pyridine', 85]","['Inorganic chemistry', 80]"
SmokeyJoe,958.0,Science,Politics,Entertainment,Technology,"['Russian Blue', 47]","['Kyle Kulinski', 42]","['List of spymasters', 30]","['Health effects of electronic cigarettes', 25]","['Xenia Tchoumitcheva', 19]","['Ulrik Lund Andersen', 16]","['David Adams (peace activist)', 14]","['2018 Liberal Party of Australia leadership spills', 13]","['Felix A. Nigro', 13]","['Solar energy', 13]"
SmokingNewton,670.0,Law,Economy,People,Government,"['2010 cash for influence scandal', 18]","['Dorneywood', 15]","['Antonin Dubost', 14]","['Andrew Schlafly', 13]","['Miriam González Durántez', 11]","['Jack Mitchell (jockey)', 11]","['Bernard Pons', 10]","['Samuel Walters (artist)', 9]","['Greg Mulholland', 7]","['Chris Leslie', 7]"
Smokizzy,737.0,Entertainment,Lists,Other,Culture,"['Nickelback', 38]","['Chris Daughtry', 15]","['Greg Hardy', 11]","['Kelly Clarkson', 11]","['Viktor Golyshev', 10]","['Harry Potter and the Deathly Hallows', 9]","[""Harry Potter and the Philosopher's Stone"", 9]","['Katharine McPhee', 9]","['Daughtry (band)', 9]","['Coloring book', 8]"
Smsarmad,1100.0,Geography,Military,Entities,Society,"['List of companies of Pakistan', 233]","['Frontier Force Regiment', 210]","['Pakistan Air Force Academy', 168]","['List of Pakistanis', 159]","['Pakistan Army', 135]","['Waar', 104]","['Khewra Salt Mine', 104]","['Islamabad', 87]","['Imran Khan', 86]","['Khaplu Palace', 84]"
Smtchahal,837.0,Education,Entertainment,Lists,Culture,"['Highway (2014 Hindi film)', 48]","['Gyan Devi Public School Sr. Secondary', 32]","[""St. Crispin's Senior Secondary School"", 28]","['Adah Sharma', 28]","['List of educational institutions in Gurgaon', 24]","['Jeannie Aur Juju', 18]","['Brahmpur, Bihar', 16]","['Coldplay', 12]","['Internshala', 12]","['Mufaddal Saifuddin', 12]"
SmthManly,766.0,Education,Business,Transportation,Crime,"['Columbine High School massacre', 789]","['Miami International Airport', 355]","['El Dorado International Airport', 224]","['Fort Lauderdale–Hollywood International Airport', 216]","['Avianca', 115]","['Miami-Dade County Public Schools', 106]","['Miami', 105]","['Miami Springs Senior High School', 85]","['List of high schools in Florida', 76]","['Columbine High School', 72]"
Smurrayinchester,950.0,Politics,Geography,Time,Concepts,"['Northern England', 835]","['Winter service vehicle', 311]","['Arctic Monkeys', 147]","['2015 Cheshire West and Chester Council election', 130]","['United Kingdom general election records', 122]","['Endorsements in the 2016 United Kingdom European Union membership referendum', 85]","['Time Person of the Year', 78]","['Schwesta Ewa', 65]","['List of sovereign states by date of formation', 62]","['United Kingdom by-election records', 60]"
Smuuv,152.0,Technology,History,Nature,Engineering,"['Buda', 1]","['H. L. Hunley (submarine)', 1]","['Pioneer (submarine)', 1]","['Cornelis Drebbel', 1]","['Joan of Kent', 1]",,,,,
Snakese,265.0,Culture,History,Mass media,Internet,"['Willis Tower', 7]","['Nigger', 2]","['Linda Blair', 2]","['Comparison of massively multiplayer online role-playing games', 2]","['WFXV', 1]","[""History of the word 'fuck'"", 1]","['Ali Hassan al-Majid', 1]","['Earth Eternal', 1]","['Grime (album)', 1]","['◊', 1]"
Snalwibma,732.0,,,,,"['Richard Dawkins', 255]","['Serial comma', 250]","['In vitro fertilisation', 244]","['Introduction to evolution', 162]","['Glossary of British terms not widely used in the United States', 150]","['The God Delusion', 117]","['List of words having different meanings in American and British English (A–L)', 94]","[""Russell's teapot"", 76]","['Militant atheism', 67]","['Glossary of American terms not widely used in the United Kingdom', 67]"
Snappy,104.0,,,,,,,,,,,,,,
Snardbafulator,232.0,Culture,Law,Other,Entertainment,"['Allan Holdsworth', 10]","['Jazz fusion', 3]","['Removal of cannabis from Schedule I of the Controlled Substances Act', 2]","['List of My Little Pony characters', 1]",,,,,,
Sneftel,626.0,Food and drink,Nature,Technology,Science,"['Cuboid', 17]","['Ghee', 17]","['Wine', 16]","['Unagi', 14]","['Casus belli', 13]","['Amaretto', 13]","['Ping (networking utility)', 13]","[""Clarke's three laws"", 11]","['Matcha', 10]","['Cloud', 10]"
Snek01,732.0,Biology,List,Nature,Science,"['List of malacologists', 158]","['Kerry slug', 129]","['Theodoxus fluviatilis', 119]","['Scaly-foot gastropod', 101]","['Biomphalaria glabrata', 98]","['List of non-marine molluscs of the Czech Republic', 79]","['Fiona pinnata', 79]","['List of non-marine molluscs of Dominica', 73]","['Limacina helicina', 70]","['List of gastropods described in the 2000s', 67]"
Sneltrekker,344.0,Arts,History,People,Society,"['Sonata Arctica', 8]","['NSYNC', 3]","['Symphorce', 2]","['Atmosphere of Earth', 2]","['Butterfly effect', 1]","['Jimmy Wales', 1]","['Electronic keyboard', 1]","['Frankie Muniz', 1]","['BBC Radio 1', 1]","['Leonardo da Vinci', 1]"
Snigbrook,984.0,Geography,Government,Sports,Society,"['Blackburn', 80]","['Adrian Durham', 55]","['Giggs (rapper)', 47]","['Alex Turner', 43]","['Blackburn Rovers F.C.', 33]","['Chorley', 33]","['Minster-in-Thanet', 33]","['Preston, Lancashire', 32]","['Preston North End F.C.', 31]","['List of statutory instruments of the United Kingdom, 2008', 31]"
Snillet,416.0,History,Military,War,Politics,"['Battle of Lesnaya', 14]","['Great Northern War', 13]","['Russo-Swedish War (1656–1658)', 12]","['Battle of Poznań (1704)', 7]","['Battle of Jakobstadt', 6]","['Battle of Gemauerthof', 6]","['Battle of Narva (1700)', 6]","['Battle of Malatitze', 5]","['Dano-Swedish War (1657–1658)', 5]","['Battle of Stäket', 4]"
Sniperz11,653.0,Military,Technology,Other,Government,"['HAL Tejas', 89]","['Indian MRCA competition', 87]","['Indian Army', 35]","['Indian Air Force', 25]","['BrahMos', 24]","['Indian Ballistic Missile Defence Programme', 23]","['Agni (missile)', 21]","['Arjun (tank)', 21]","['Integrated Guided Missile Development Programme', 19]","['Chola Navy', 19]"
Snottywong,104.0,,,,,,,,,,,,,,
Snow,100.0,,,,,,,,,,,,,,
Snow Blizzard,776.0,Humanities,History,Life,Entertainment,"['University of Cambridge', 49]","['Ian Watkins (Lostprophets singer)', 9]","['Mass Effect', 9]","['Feminist movements in the United States', 9]","['Conor Maynard', 9]","['Bastille (band)', 8]","['Negombo', 8]","['History of pizza', 8]","['I Love You', 7]","['Peter Wothers', 7]"
Snowded,877.0,Philosophy,Society,Culture,Information,"['Knowledge management', 385]","['Neuro-linguistic programming', 370]","['Philosophy', 314]","['English Defence League', 300]","['Wales', 287]","['Labour Party (UK)', 250]","['British National Party', 203]","['Knowledge', 202]","['United Kingdom', 189]","['Ayn Rand', 189]"
Snowfire51,104.0,,,,,,,,,,,,,,
Snowolf,1055.0,Entertainment,People,Science,Technology,"['Crazy Taxi', 11]","['Littlehampton Community School', 11]","['Neil Armstrong', 11]","['XLR8', 10]","['Smile', 10]","['Video game', 9]","['Coal', 9]","['John Knowles', 9]","['Greece', 9]","['Saturn', 9]"
Snoyes,674.0,Concepts,Culture,Knowledge,Lists,"['List of South Africa-related topics', 75]","['Encyclopédie', 44]","['Index of philosophy articles (A–C)', 42]","[""Baron d'Holbach"", 39]","['Cosmotheism', 37]","[""Jean le Rond d'Alembert"", 24]","['Main Page', 21]","['White supremacy', 20]","['Lists of law topics', 18]","['Creationism', 17]"
